state,avg_rainfall_mm,river_level_m,elevation_m,distance_to_river_km,drainage_quality,soil_type,past_flood_events,flood_risk
Lagos,107.6,7.32,53.1,24.07,Poor,Clay,4,High
Rivers,449.8,8.91,29.2,5.86,Good,Clay,0,Low
Rivers,299.0,5.88,180.1,9.25,Fair,Loamy,5,Low
Bayelsa,222.4,9.46,67.3,12.73,Good,Loamy,4,High
Bayelsa,165.3,5.63,139.7,5.89,Good,Clay,0,Low
Jigawa,291.6,10.18,328.4,9.91,Good,Loamy,2,Low
Jigawa,69.8,4.31,154.9,13.48,Fair,Clay,2,Low
Kogi,87.9,4.41,244.7,4.86,Poor,Loamy,2,Low
Jigawa,63.1,6.99,201.9,6.49,Good,Sandy,0,Low
Niger,249.7,6.02,288.0,3.21,Poor,Sandy,0,Low
Rivers,290.2,8.31,64.2,17.86,Poor,Sandy,4,High
Delta,75.0,5.33,368.3,9.1,Poor,Loamy,4,Low
Niger,338.5,3.92,258.2,5.58,Good,Loamy,4,Low
Anambra,142.2,6.43,109.8,12.73,Poor,Sandy,1,Medium
Lagos,324.1,7.39,51.1,1.8,Good,Clay,0,Medium
Jigawa,442.8,3.0,61.6,23.09,Good,Clay,5,Low
Lagos,326.4,7.35,313.5,7.43,Good,Sandy,2,Low
Benue,403.3,4.85,236.1,22.17,Poor,Loamy,2,Low
Kogi,429.3,5.62,153.5,12.49,Good,Clay,1,Low
Benue,244.7,4.43,134.5,21.27,Fair,Clay,1,Low
Kogi,330.9,11.28,342.6,6.25,Fair,Clay,2,Low
Bayelsa,390.8,8.68,350.2,4.46,Fair,Loamy,0,Low
Lagos,192.6,4.26,233.3,21.25,Good,Clay,2,Low
Kogi,154.6,8.27,210.8,5.4,Fair,Clay,2,Low
Kwara,428.6,10.41,326.9,18.68,Good,Sandy,5,Low
Niger,340.5,5.72,300.2,8.68,Good,Loamy,1,Low
Kogi,137.9,10.21,161.3,18.73,Good,Sandy,1,Low
Kogi,229.6,3.12,34.9,22.7,Poor,Clay,4,High
Niger,368.6,10.14,307.9,24.54,Fair,Loamy,1,Low
Lagos,268.8,7.17,69.1,9.06,Good,Loamy,5,Low
Lagos,310.0,3.84,8.5,9.25,Fair,Sandy,5,High
Niger,351.5,5.77,337.6,24.54,Fair,Sandy,2,Low
Benue,298.8,11.87,232.1,21.55,Poor,Loamy,5,High
Kwara,266.0,9.73,356.9,1.22,Fair,Loamy,4,Medium
Delta,349.8,7.54,194.9,14.38,Good,Sandy,2,Low
Anambra,341.0,2.71,370.7,4.61,Good,Clay,0,Low
Kwara,301.9,5.89,142.9,24.85,Fair,Loamy,0,Low
Lagos,193.9,4.26,290.4,3.56,Fair,Clay,1,Low
Delta,212.3,2.25,121.8,14.03,Poor,Sandy,4,Medium
Bayelsa,438.2,7.19,2.5,16.66,Good,Loamy,5,High
Jigawa,95.0,10.84,153.1,23.43,Fair,Sandy,3,Low
Kogi,157.4,8.59,295.6,21.2,Fair,Loamy,0,Low
Niger,247.0,4.12,61.7,6.22,Good,Loamy,5,Medium
Niger,384.7,7.52,202.9,14.36,Fair,Sandy,0,Low
Kogi,115.5,11.4,86.5,23.84,Poor,Sandy,0,Medium
Jigawa,160.8,9.09,31.7,18.42,Fair,Clay,0,Medium
Anambra,76.3,8.74,247.7,17.24,Fair,Sandy,1,Low
Jigawa,332.4,11.67,380.9,18.9,Poor,Sandy,4,Medium
Delta,145.3,9.89,125.7,8.13,Poor,Clay,0,Medium
Jigawa,205.5,2.93,233.1,18.26,Poor,Sandy,5,Medium
Delta,227.5,5.15,381.5,5.9,Good,Clay,5,Medium
Jigawa,406.5,11.63,260.9,10.76,Fair,Clay,1,Medium
Anambra,214.5,6.64,269.9,22.26,Fair,Sandy,4,Low
Anambra,108.1,2.67,73.2,0.57,Poor,Clay,4,High
Lagos,259.7,6.32,198.1,10.42,Good,Clay,3,Low
Kogi,435.2,8.82,148.1,6.74,Poor,Clay,2,High
Anambra,293.1,11.97,189.4,5.04,Fair,Sandy,0,Low
Delta,443.4,4.9,320.7,20.98,Good,Sandy,1,Low
Anambra,386.4,6.9,185.4,17.44,Good,Clay,4,Low
Lagos,64.4,10.74,27.0,2.9,Fair,Sandy,3,Low
Niger,313.4,5.23,362.4,12.41,Good,Loamy,2,Low
Delta,164.7,2.65,218.8,11.73,Good,Clay,4,Low
Lagos,273.8,11.46,369.9,3.65,Poor,Loamy,4,Medium
Benue,161.7,6.63,229.8,20.01,Good,Sandy,0,Low
Benue,189.5,6.78,29.7,9.23,Poor,Loamy,2,Low
Bayelsa,419.3,8.02,222.0,19.07,Good,Sandy,2,Low
Jigawa,132.7,1.54,231.1,4.88,Poor,Sandy,1,Low
Kogi,399.6,11.28,87.3,7.95,Poor,Clay,3,High
Rivers,62.2,5.3,189.5,2.47,Good,Loamy,5,Low
Kwara,86.4,5.67,184.9,3.67,Poor,Clay,1,Low
Lagos,391.9,3.33,249.9,22.09,Fair,Loamy,3,Low
Niger,302.2,5.47,105.3,2.82,Fair,Sandy,1,Low
Kwara,348.9,9.94,233.5,2.48,Good,Sandy,3,Low
Niger,133.8,9.9,97.9,23.52,Good,Clay,5,High
Kwara,264.8,11.33,179.7,16.18,Good,Loamy,0,Low
Lagos,344.9,5.73,50.8,2.61,Fair,Loamy,3,Low
Rivers,300.9,8.94,16.8,24.3,Good,Sandy,5,High
Kwara,238.7,6.83,129.6,3.76,Good,Clay,1,Low
Lagos,433.9,9.94,111.3,19.18,Poor,Sandy,2,High
Anambra,320.5,8.98,164.0,0.97,Good,Sandy,4,Low
Rivers,413.1,5.36,384.9,15.65,Fair,Clay,5,Medium
Delta,341.9,5.04,209.8,13.71,Fair,Loamy,5,Low
Niger,344.2,4.15,222.2,5.28,Good,Loamy,5,Low
Benue,82.0,7.55,376.8,16.11,Fair,Sandy,3,Low
Jigawa,193.8,11.62,368.6,15.46,Poor,Loamy,3,Medium
Benue,393.3,3.6,353.9,19.98,Poor,Clay,2,Low
Rivers,143.0,2.5,41.0,21.91,Good,Loamy,0,Low
Delta,96.2,2.75,254.5,12.8,Good,Loamy,1,Low
Niger,180.4,9.72,323.6,12.31,Poor,Sandy,0,Low
Delta,138.2,5.18,334.6,15.58,Poor,Loamy,3,Low
Kwara,420.1,3.86,232.0,18.26,Good,Clay,3,Low
Niger,397.2,5.2,9.0,8.97,Fair,Sandy,5,High
Kwara,249.9,8.28,389.5,12.67,Good,Clay,5,Medium
Lagos,74.5,7.24,189.9,14.67,Good,Loamy,0,Low
Rivers,335.8,9.31,158.7,24.71,Good,Loamy,1,Low
Lagos,299.4,5.06,159.2,14.73,Good,Sandy,3,Low
Bayelsa,438.2,6.25,170.8,5.68,Good,Clay,3,Low
Delta,273.6,2.57,98.4,14.74,Good,Loamy,0,Low
Kwara,184.6,2.27,132.3,20.51,Good,Loamy,4,Medium
Anambra,257.6,6.35,394.2,21.45,Fair,Sandy,5,Low
Lagos,441.7,4.67,148.5,20.03,Good,Loamy,2,Low
Bayelsa,328.5,7.93,211.6,22.22,Poor,Loamy,3,Low
Kogi,318.8,1.95,339.6,8.44,Good,Loamy,1,Low
Benue,146.3,2.78,211.9,12.74,Fair,Clay,4,Low
Niger,347.4,10.58,131.1,19.51,Poor,Clay,0,High
Bayelsa,350.1,7.45,210.5,6.68,Good,Clay,0,Low
Rivers,176.9,8.98,47.4,9.35,Good,Loamy,1,Low
Lagos,243.5,10.34,53.7,20.8,Poor,Sandy,5,High
Rivers,167.8,6.37,278.3,19.28,Good,Sandy,5,Low
Benue,153.5,9.49,367.1,24.28,Fair,Sandy,4,Medium
Anambra,60.4,7.01,290.8,24.9,Good,Clay,1,Low
Delta,164.1,3.84,31.7,6.09,Fair,Clay,3,Low
Delta,271.6,5.05,162.4,22.52,Good,Clay,4,Low
Rivers,50.6,6.65,3.0,2.45,Poor,Clay,2,Medium
Kwara,163.3,4.83,205.5,17.77,Fair,Loamy,2,Low
Anambra,402.6,5.02,78.9,5.58,Good,Sandy,1,Low
Delta,287.5,5.04,347.5,7.58,Good,Sandy,2,Low
Anambra,293.1,2.79,43.5,23.66,Poor,Clay,1,Medium
Bayelsa,211.3,2.39,2.6,6.65,Poor,Sandy,3,High
Anambra,320.6,1.99,181.6,16.86,Fair,Sandy,5,Low
Jigawa,126.0,2.67,63.9,4.54,Fair,Clay,3,Medium
Benue,377.5,5.11,295.7,2.43,Fair,Clay,1,Low
Delta,96.7,7.74,368.1,8.55,Good,Clay,3,Low
Anambra,312.4,3.48,18.7,15.64,Good,Clay,2,Medium
Rivers,186.5,10.82,159.4,6.27,Fair,Loamy,3,Low
Kogi,349.0,9.99,398.7,7.57,Good,Sandy,2,Low
Jigawa,269.9,6.97,293.6,17.75,Poor,Loamy,5,Low
Jigawa,230.9,9.1,381.4,2.66,Good,Sandy,5,Low
Kwara,117.8,5.35,67.3,11.23,Fair,Loamy,2,Low
Anambra,304.7,1.89,90.1,23.55,Good,Clay,0,Low
Kwara,439.9,11.0,63.6,9.98,Poor,Loamy,3,High
Kwara,380.2,2.84,122.3,10.91,Fair,Clay,3,Medium
Kogi,74.0,11.45,290.3,18.48,Fair,Clay,1,Medium
Bayelsa,200.5,7.5,67.6,19.5,Fair,Loamy,1,Low
Anambra,420.2,4.71,210.6,19.26,Fair,Sandy,4,Low
Lagos,251.2,6.7,109.1,24.95,Good,Loamy,2,Low
Delta,314.8,6.77,332.0,1.88,Poor,Clay,5,Medium
Kwara,415.0,1.74,4.6,24.56,Good,Clay,5,High
Benue,399.5,5.23,90.8,23.76,Good,Sandy,0,Low
Niger,250.7,9.27,242.9,21.32,Fair,Sandy,2,Low
Benue,225.1,6.86,40.5,11.41,Poor,Sandy,3,Medium
Kogi,185.9,4.06,187.6,21.79,Good,Clay,4,Low
Kogi,337.6,5.02,175.6,5.6,Poor,Loamy,2,Low
Rivers,164.8,10.56,341.3,19.81,Poor,Sandy,4,Medium
Bayelsa,150.0,7.02,250.9,4.71,Poor,Clay,2,Low
Delta,192.5,7.05,256.6,20.4,Poor,Loamy,3,Low
Kwara,120.9,11.6,380.8,15.4,Good,Sandy,3,Low
Benue,328.0,4.87,393.0,2.54,Poor,Loamy,2,Low
Niger,296.5,6.54,262.1,22.39,Good,Loamy,5,Low
Kogi,243.2,10.02,209.8,14.49,Poor,Clay,5,High
Kogi,206.1,9.47,244.0,16.44,Poor,Clay,0,Medium
Bayelsa,413.6,4.29,154.2,7.16,Good,Clay,3,Low
Niger,61.6,3.09,395.0,21.8,Fair,Loamy,1,Low
Niger,357.6,8.86,282.6,13.68,Good,Sandy,0,Low
Bayelsa,410.8,4.21,117.8,10.59,Poor,Sandy,2,Low
Kogi,228.5,11.19,25.0,13.4,Good,Sandy,0,Low
Delta,270.3,2.86,19.8,17.61,Poor,Clay,1,High
Anambra,427.8,4.84,83.6,17.41,Good,Sandy,3,Low
Anambra,134.9,2.08,94.7,9.0,Good,Sandy,3,Low
Bayelsa,258.1,8.88,167.2,9.69,Good,Clay,5,Medium
Niger,239.9,10.86,87.5,14.1,Fair,Sandy,3,Medium
Kwara,153.4,8.18,253.1,23.12,Good,Sandy,5,Low
Bayelsa,377.4,11.35,86.1,18.66,Good,Sandy,1,Low
Delta,409.8,2.85,76.8,9.82,Fair,Loamy,0,Low
Bayelsa,362.8,2.42,189.6,8.49,Fair,Loamy,2,Low
Jigawa,128.1,10.3,355.7,13.14,Poor,Clay,2,Medium
Benue,84.7,10.48,188.4,21.76,Poor,Clay,0,Medium
Niger,292.2,10.23,166.7,0.32,Good,Loamy,3,Low
Rivers,72.8,9.89,232.1,17.79,Poor,Clay,5,High
Rivers,319.1,5.3,104.4,7.43,Good,Clay,2,Low
Niger,262.2,3.78,142.7,5.29,Fair,Sandy,3,Medium
Delta,315.1,11.25,87.1,0.4,Fair,Clay,4,High
Jigawa,286.1,4.72,229.6,22.43,Good,Clay,4,Low
Jigawa,219.1,5.68,279.6,22.81,Poor,Sandy,2,Low
Kogi,130.4,8.85,270.1,1.63,Poor,Sandy,0,Low
Benue,172.3,4.58,103.4,13.09,Poor,Loamy,0,Low
Anambra,259.8,10.1,312.3,3.9,Good,Clay,0,Low
Lagos,310.7,2.24,103.9,18.99,Poor,Sandy,3,Medium
Delta,361.8,9.81,61.8,16.67,Fair,Clay,4,High
Lagos,356.9,7.82,141.2,7.5,Fair,Clay,3,High
Lagos,439.1,7.52,239.9,3.01,Fair,Loamy,1,Low
Niger,164.3,6.31,58.5,20.8,Fair,Loamy,1,Low
Rivers,78.4,4.41,259.9,16.89,Fair,Loamy,2,Low
Rivers,188.3,6.37,345.5,0.27,Fair,Loamy,1,Low
Anambra,347.3,6.23,118.7,15.73,Fair,Loamy,0,Low
Niger,225.2,7.63,181.2,20.28,Fair,Sandy,2,Low
Lagos,377.1,4.46,92.9,14.81,Fair,Loamy,4,Medium
Kwara,269.7,2.31,145.8,10.68,Good,Sandy,5,Low
Rivers,421.9,3.02,10.7,14.64,Good,Loamy,4,Medium
Delta,429.1,8.84,381.6,15.53,Fair,Sandy,1,Low
Delta,77.7,1.74,167.5,16.04,Fair,Clay,1,Low
Kogi,232.6,10.49,316.0,24.18,Fair,Loamy,4,Medium
Bayelsa,293.9,8.79,58.8,4.55,Poor,Sandy,1,Medium
Kwara,152.3,9.56,325.3,15.62,Good,Loamy,1,Low
Rivers,212.8,10.28,344.3,4.78,Fair,Sandy,3,Low
Jigawa,321.1,2.79,286.8,5.33,Good,Sandy,5,Low
Rivers,140.7,10.14,361.5,16.76,Fair,Loamy,5,Low
Kogi,290.8,6.8,68.5,22.91,Poor,Sandy,4,High
Delta,329.0,10.8,191.6,4.06,Fair,Clay,4,Medium
Lagos,86.2,10.81,248.8,24.07,Good,Loamy,1,Low
Jigawa,249.0,1.75,239.3,8.05,Good,Clay,0,Low
Niger,155.2,5.52,344.7,9.84,Good,Sandy,3,Low
Benue,339.8,7.03,87.8,3.93,Good,Sandy,0,Low
Lagos,125.8,8.62,71.9,15.43,Fair,Loamy,1,Medium
Benue,406.9,4.5,102.8,14.95,Poor,Clay,4,Medium
Kwara,222.4,4.15,356.8,11.11,Poor,Clay,0,Low
Bayelsa,129.2,5.5,376.5,11.95,Fair,Loamy,5,Low
Jigawa,225.2,6.76,228.7,15.61,Fair,Clay,2,Low
Anambra,213.5,11.49,201.5,14.63,Good,Loamy,0,Low
Jigawa,221.6,9.5,242.9,9.42,Fair,Loamy,4,Medium
Rivers,284.2,6.01,247.3,22.11,Poor,Sandy,5,Low
Delta,258.5,2.07,69.8,16.72,Fair,Sandy,1,Low
Rivers,109.9,3.27,275.2,5.21,Fair,Clay,0,Low
Rivers,76.2,6.29,182.0,8.07,Poor,Loamy,1,Low
Kwara,341.8,10.05,207.9,19.72,Poor,Loamy,3,Medium
Lagos,273.9,5.5,14.1,2.7,Fair,Loamy,2,High
Anambra,193.6,7.15,306.3,18.78,Good,Loamy,4,Low
Anambra,373.3,10.86,334.5,9.04,Good,Sandy,4,Low
Rivers,205.2,11.09,248.5,13.84,Good,Clay,1,Low
Benue,368.4,3.77,300.0,7.09,Poor,Sandy,2,Low
Kwara,172.3,1.96,210.0,24.66,Poor,Loamy,5,Medium
Rivers,79.1,4.71,248.1,22.66,Good,Clay,4,Low
Bayelsa,423.1,8.81,159.0,23.22,Fair,Clay,0,Low
Delta,207.8,11.49,317.2,4.7,Fair,Loamy,4,Low
Lagos,367.1,2.31,188.4,21.06,Fair,Loamy,0,Low
Niger,161.7,1.8,272.7,13.43,Poor,Sandy,4,Low
Bayelsa,308.5,10.78,249.3,17.73,Poor,Sandy,0,Low
Benue,399.3,9.36,281.5,5.52,Good,Loamy,3,Low
Jigawa,66.7,11.92,314.5,17.83,Fair,Loamy,1,Low
Jigawa,382.3,5.67,206.1,22.87,Poor,Sandy,5,Low
Bayelsa,278.5,5.87,325.6,6.76,Poor,Clay,5,Medium
Rivers,293.0,3.31,199.9,5.91,Good,Clay,3,Low
Niger,259.3,2.72,382.7,2.7,Fair,Clay,5,Low
Kogi,399.8,7.58,301.6,6.74,Poor,Sandy,0,Low
Kogi,67.4,5.32,70.1,13.44,Poor,Loamy,5,Medium
Benue,154.4,2.34,332.2,20.83,Poor,Clay,1,Low
Rivers,400.3,10.81,221.5,7.04,Poor,Loamy,2,Medium
Anambra,350.9,3.58,393.8,15.57,Fair,Sandy,0,Low
Anambra,57.1,9.36,288.1,12.04,Good,Sandy,5,Low
Lagos,256.8,4.46,35.6,7.29,Fair,Loamy,4,Medium
Niger,261.8,10.04,159.2,12.81,Good,Loamy,4,Low
Niger,210.4,2.74,207.9,4.28,Poor,Loamy,2,Low
Jigawa,169.0,9.44,335.9,16.03,Fair,Loamy,3,Low
Kwara,322.7,2.53,292.3,2.98,Good,Clay,0,Low
Benue,133.1,6.19,149.0,18.3,Good,Loamy,4,Low
Kogi,369.6,9.21,262.1,4.53,Poor,Clay,1,Low
Benue,371.2,3.32,231.6,24.95,Good,Sandy,2,Low
Anambra,216.1,4.5,52.2,20.61,Good,Clay,3,Low
Anambra,163.4,10.58,95.5,8.66,Good,Loamy,3,Medium
Bayelsa,163.6,10.79,137.8,10.71,Poor,Clay,1,High
Lagos,242.9,1.97,79.8,6.55,Fair,Sandy,5,Medium
Niger,337.8,3.26,61.8,19.2,Poor,Loamy,1,Low
Delta,193.5,2.73,25.2,9.58,Good,Sandy,5,Low
Benue,294.0,3.39,349.5,18.9,Good,Sandy,2,Low
Anambra,203.0,11.69,117.0,0.56,Fair,Loamy,1,Low
Kwara,171.8,7.29,117.5,3.48,Good,Clay,4,Low
Jigawa,59.9,6.42,84.1,9.19,Fair,Sandy,3,Medium
Kogi,51.6,11.84,191.2,2.81,Good,Loamy,5,Low
Lagos,140.9,7.35,206.7,15.07,Good,Sandy,1,Low
Kwara,212.6,8.44,84.9,1.37,Poor,Clay,0,High
Lagos,390.5,4.99,244.2,21.51,Poor,Sandy,1,Low
Bayelsa,369.4,5.51,289.8,19.06,Fair,Sandy,5,Low
Delta,156.9,7.74,150.8,5.48,Poor,Sandy,3,Low
Anambra,147.8,2.23,235.0,12.15,Fair,Sandy,4,Low
Jigawa,140.9,4.19,201.9,11.35,Poor,Clay,1,Low
Kwara,185.7,3.57,79.8,18.15,Fair,Loamy,4,Medium
Lagos,249.3,1.67,292.5,10.1,Good,Sandy,0,Low
Niger,225.5,7.14,321.0,0.92,Fair,Clay,5,Medium
Bayelsa,137.3,7.39,260.2,6.92,Poor,Sandy,3,Low
Niger,102.2,5.53,130.9,11.71,Fair,Sandy,2,Low
Jigawa,55.0,4.32,370.9,24.36,Poor,Sandy,3,Low
Kwara,111.6,8.35,183.2,22.04,Good,Clay,5,Medium
Bayelsa,332.1,2.91,107.8,4.62,Poor,Sandy,2,Low
Kwara,147.5,6.95,164.5,18.11,Good,Sandy,2,Low
Anambra,237.4,9.56,277.4,23.43,Good,Loamy,3,Low
Rivers,286.5,3.23,338.7,0.32,Poor,Clay,5,High
Bayelsa,404.7,9.41,143.9,18.05,Good,Loamy,2,Medium
Niger,405.5,9.49,94.6,11.54,Poor,Loamy,5,High
Jigawa,348.3,2.13,251.3,17.04,Fair,Loamy,4,Low
Delta,64.1,1.7,368.6,15.18,Good,Loamy,0,Low
Anambra,280.0,11.73,75.0,24.62,Fair,Sandy,1,Low
Rivers,364.6,3.53,321.6,7.29,Fair,Loamy,5,Low
Delta,56.9,10.13,191.7,19.67,Poor,Clay,5,Medium
Kogi,269.9,7.4,320.2,5.94,Poor,Sandy,2,Low
Anambra,393.1,4.28,203.2,10.95,Good,Loamy,5,Low
Jigawa,239.6,2.86,152.2,24.39,Poor,Loamy,5,Low
Lagos,51.6,6.72,279.3,19.18,Fair,Clay,2,Low
Bayelsa,54.4,5.78,360.4,7.96,Fair,Clay,3,Low
Kwara,216.7,8.84,129.5,15.52,Fair,Loamy,5,High
Jigawa,112.0,10.99,185.4,1.34,Good,Loamy,4,Low
Bayelsa,315.8,9.96,93.3,6.73,Poor,Loamy,1,Medium
Delta,333.5,4.38,75.0,17.99,Fair,Loamy,5,Medium
Kwara,121.2,10.73,311.6,14.3,Good,Loamy,2,Low
Benue,405.4,10.25,81.9,11.79,Poor,Clay,4,High
Niger,226.8,11.26,317.7,17.3,Poor,Clay,1,Medium
Kogi,107.1,6.32,172.8,10.02,Fair,Sandy,3,Low
Anambra,355.7,9.57,398.0,0.75,Good,Sandy,5,Low
Jigawa,366.0,7.71,80.5,11.08,Fair,Clay,2,High
Kogi,305.7,4.76,39.0,22.56,Fair,Sandy,3,Low
Lagos,391.4,11.94,32.0,21.43,Good,Loamy,5,Medium
Bayelsa,344.9,1.9,334.5,10.28,Fair,Sandy,3,Low
Bayelsa,402.9,3.2,176.2,0.65,Good,Loamy,2,Low
Jigawa,223.6,10.87,3.2,15.94,Good,Loamy,4,Medium
Rivers,349.0,2.14,350.2,18.56,Fair,Sandy,4,Low
Rivers,449.9,10.81,351.0,7.43,Fair,Sandy,3,Low
Benue,340.0,9.01,323.0,11.97,Poor,Loamy,3,Medium
Niger,95.7,1.89,100.8,24.8,Poor,Clay,5,High
Kwara,257.3,6.01,150.4,14.45,Good,Sandy,0,Low
Lagos,284.9,9.42,298.5,8.84,Good,Sandy,1,Low
Kogi,119.7,7.62,196.8,15.72,Good,Clay,5,Medium
Rivers,435.2,11.33,63.2,4.58,Poor,Sandy,3,Medium
Benue,120.2,10.61,98.6,5.06,Fair,Loamy,3,Medium
Benue,121.0,4.99,389.1,23.13,Fair,Clay,1,Low
Jigawa,416.1,2.39,62.1,6.06,Poor,Clay,2,Medium
Lagos,236.1,11.41,291.0,7.84,Fair,Loamy,4,Medium
Delta,75.3,6.93,192.3,13.64,Fair,Loamy,2,Low
Kwara,289.3,2.28,299.9,22.5,Fair,Loamy,1,Low
Niger,290.7,10.07,265.1,19.56,Poor,Clay,1,Low
Anambra,75.8,10.62,176.8,1.19,Good,Loamy,0,Low
Jigawa,439.0,8.21,142.9,17.36,Fair,Sandy,5,High
Kwara,267.6,6.2,302.2,12.65,Fair,Sandy,5,Low
Anambra,273.9,8.45,130.6,11.94,Good,Loamy,5,High
Anambra,258.0,8.92,315.5,17.32,Fair,Sandy,5,Medium
Lagos,294.3,10.88,272.6,4.99,Fair,Sandy,0,Low
Lagos,155.7,11.54,231.9,24.54,Good,Clay,4,Medium
Kogi,164.9,6.9,148.8,16.17,Poor,Loamy,5,High
Benue,254.5,9.88,83.6,9.2,Poor,Sandy,3,Medium
Kwara,372.7,11.63,284.7,15.05,Fair,Loamy,1,Low
Jigawa,69.9,3.09,38.4,5.49,Fair,Loamy,0,Low
Bayelsa,291.4,1.69,388.3,15.88,Good,Sandy,2,Low
Jigawa,372.7,10.62,391.5,0.8,Good,Sandy,5,Low
Kogi,112.8,3.55,53.8,8.6,Fair,Clay,0,Low
Niger,56.0,1.95,43.4,18.71,Fair,Clay,2,Low
Benue,175.1,3.18,166.3,20.22,Poor,Clay,0,Low
Bayelsa,285.3,5.53,385.5,6.4,Poor,Sandy,2,Low
Rivers,105.3,3.8,161.3,13.53,Poor,Clay,0,Low
Niger,220.4,4.71,146.8,13.26,Poor,Loamy,0,Medium
Lagos,270.9,11.74,282.0,10.59,Good,Clay,5,Medium
Anambra,289.6,8.9,73.1,5.79,Poor,Clay,4,High
Rivers,159.8,8.98,146.6,17.61,Poor,Clay,3,High
Jigawa,210.0,2.49,117.9,6.38,Fair,Loamy,1,Medium
Jigawa,361.3,9.19,241.4,22.78,Poor,Loamy,3,Medium
Lagos,426.5,9.26,66.8,13.26,Fair,Sandy,4,Medium
Kogi,394.8,8.43,220.4,21.77,Fair,Clay,5,Medium
Kwara,275.7,3.9,343.3,7.34,Poor,Loamy,2,Low
Rivers,214.1,5.94,206.6,20.2,Poor,Loamy,3,Low
Rivers,183.2,10.39,274.0,2.93,Fair,Loamy,1,Low
Delta,100.0,8.54,31.9,19.19,Good,Sandy,5,Medium
Niger,92.6,9.19,180.7,9.73,Fair,Sandy,1,Low
Benue,325.3,7.67,39.8,11.8,Good,Sandy,2,Low
Niger,153.9,6.22,240.6,4.25,Good,Clay,1,Low
Kwara,151.9,9.47,113.9,0.56,Poor,Loamy,4,High
Jigawa,449.3,2.21,116.3,16.69,Poor,Sandy,3,High
Jigawa,125.2,8.57,32.6,14.73,Poor,Sandy,1,Medium
Jigawa,109.2,11.97,125.5,15.6,Poor,Loamy,3,High
Delta,89.5,9.69,203.7,6.45,Fair,Loamy,0,Low
Jigawa,281.9,4.55,234.7,6.06,Good,Clay,3,Low
Kwara,301.1,4.42,28.5,20.77,Fair,Clay,2,Medium
Lagos,196.1,8.51,261.3,19.06,Good,Clay,4,Medium
Benue,264.2,10.91,196.6,8.49,Fair,Sandy,5,Low
Kwara,365.4,7.57,215.7,15.98,Good,Sandy,1,Low
Benue,377.2,7.04,333.5,20.72,Poor,Loamy,5,Medium
Kwara,433.2,3.18,138.2,22.23,Good,Clay,4,Medium
Jigawa,379.7,9.01,71.3,0.24,Poor,Loamy,3,High
Lagos,275.9,8.87,221.6,20.36,Good,Clay,1,Low
Rivers,121.9,11.65,378.1,8.82,Fair,Clay,4,Medium
Niger,89.9,4.65,208.1,17.99,Good,Clay,2,Low
Anambra,71.8,9.44,333.1,9.35,Fair,Clay,0,Low
Lagos,316.6,6.06,303.3,15.2,Fair,Loamy,0,Low
Rivers,373.0,7.36,208.3,16.2,Poor,Loamy,2,Low
Kogi,253.5,10.07,259.7,10.18,Good,Sandy,5,Low
Kwara,71.9,3.83,163.9,12.87,Fair,Clay,0,Low
Kogi,264.2,5.1,213.2,18.19,Good,Loamy,2,Low
Rivers,424.3,9.62,203.9,11.96,Poor,Clay,3,Medium
Lagos,289.0,7.49,284.2,0.45,Poor,Clay,5,High
Kwara,373.8,2.47,165.2,0.42,Good,Sandy,5,Low
Anambra,370.1,6.02,41.7,16.57,Fair,Sandy,2,Low
Jigawa,422.9,7.66,315.9,21.2,Fair,Loamy,0,Low
Kwara,358.1,11.05,274.6,19.65,Fair,Loamy,3,Low
Kwara,349.1,3.48,380.1,7.83,Good,Sandy,5,Low
Lagos,143.6,9.96,172.6,11.83,Fair,Loamy,2,Low
Lagos,74.0,2.87,33.1,5.93,Fair,Loamy,2,Low
Rivers,257.0,4.04,50.4,24.73,Fair,Sandy,5,Low
Bayelsa,99.8,4.06,309.8,6.59,Poor,Clay,5,Medium
Kwara,434.9,10.71,29.0,10.46,Fair,Clay,3,High
Niger,166.0,3.59,363.3,17.06,Good,Sandy,5,Low
Kwara,391.2,9.76,114.1,21.91,Good,Clay,1,Medium
Rivers,205.0,6.35,359.8,1.38,Fair,Clay,0,Low
Benue,179.3,11.99,309.9,7.6,Good,Sandy,5,Low
Kogi,424.1,10.31,348.7,14.27,Good,Loamy,1,Low
Jigawa,195.3,9.27,87.2,15.5,Fair,Sandy,3,Low
Bayelsa,206.1,10.64,239.1,1.84,Poor,Sandy,3,Medium
Anambra,92.4,8.16,39.2,16.64,Fair,Clay,4,High
Anambra,318.2,10.36,82.5,13.25,Good,Sandy,4,Low
Anambra,165.5,4.24,125.3,20.71,Good,Clay,3,Low
Lagos,284.2,2.53,296.8,5.63,Fair,Sandy,4,Low
Anambra,286.5,7.97,11.8,4.96,Good,Loamy,2,High
Jigawa,337.7,6.06,361.4,19.85,Poor,Clay,1,Low
Kogi,348.1,5.98,30.2,17.63,Fair,Sandy,3,Low
Anambra,255.8,7.03,151.8,19.81,Good,Clay,2,Low
Kwara,182.4,5.29,34.3,19.57,Poor,Sandy,0,Low
Kwara,385.0,8.07,308.0,2.69,Good,Sandy,0,Low
Lagos,173.9,1.82,58.2,7.04,Poor,Sandy,4,Medium
Jigawa,253.0,11.68,354.1,6.58,Good,Clay,4,Medium
